symptom,department
배가 아프고 설사가 나요(하루 이내 급성),소화기내과
배가 아프고 설사가 나요(3일 이상 지속·탈수 의심),감염내과
열과 함께 물설사·복통(해외여행/회 식 이후),감염내과
복통과 혈변(맑은 피/점액),소화기내과
갑작스런 우상복부 통증·기름진 음식 후 악화,소화기내과
우상복부 통증·황달·소변 진한색,소화기내과
속쓰림·명치 화끈거림·공복 악화,소화기내과
식후 더부룩·트림·복부 팽만,소화기내과
반복적 구토·탈수 증상(입 마름·소변량 감소),응급의학과
속이 메스껍고 구토·설사 동반,감염내과
간헐적 복통·체중감소·철분결핍빈혈,소화기내과
복통과 잦은 설사·야간 증상(크론/궤양성 대장염 의심),소화기내과
우하복부 지속 통증·미열·식욕감소(충수염 의심),일반외과
옆구리 심한 통증이 등으로 뻗침(담석/췌장 의심),소화기내과
극심한 상복부 통증·구토·등 방사통(췌장염 의심),응급의학과
복부가 점차 팽만·흉수/복수 의심,소화기내과
검은변(흑색변)·어지러움·창백,응급의학과
토혈(커피색/선홍색),응급의학과
지속적 변비·배변 습관 변화(>6주),소화기내과
항문 통증·출혈·덩어리 촉지,대장항문외과
항문 가려움·분비물·통증,대장항문외과
명치 통증과 등 방사통·음주 후 악화,소화기내과
복부 외상 후 통증·멍·쇼크 의심,응급의학과

가슴이 조이고 짓누르는 통증(5분↑·운동/계단 후),심장내과
가슴 통증이 왼팔/턱으로 번짐·식은땀·구역,응급의학과
불규칙한 심장 박동·두근거림·어지럼,심장내과
갑작스런 호흡곤란·청색증·흉통(폐색전증 의심),응급의학과
숨이 가쁘고 쌕쌕거림(천식 의심),호흡기내과
기침이 3주 이상 지속(만성기침),호흡기내과
노란/녹색 가래 동반 기침·발열,호흡기내과
새벽/새벽녘 심한 기침·천식 가족력,호흡기내과
계절성 콧물·코막힘·눈가려움(알레르기 비염),이비인후과
코피가 자주 나요(압박에도 지속),이비인후과
목이 아프고 삼키기 힘듦·고열,이비인후과
목소리 잠김·말 많을 때 악화,이비인후과
귀 통증·삼출·청력 저하(중이염),이비인후과

두통이 갑자기 ‘번개처럼’ 시작(최악의 두통),응급의학과
새로운 양상의 심한 두통·신경학적 이상 동반,신경과
편측 박동성 두통·구역·광과민(편두통),신경과
긴장성 두통(띠압박·저녁 악화),신경과
발열과 경부경직·수막 자극 징후,응급의학과
어지럼과 구토·안진(말초성 의심),이비인후과
어지럼·편마비·구음장애 동반(중추성 의심),응급의학과
손발 저림·감각저하(대칭/당뇨 병력),신경과
한쪽 팔다리 힘 빠짐·실어증·안면마비(급성),응급의학과
만성 요통·야간 악화·체중감소,정형외과
요통과 다리 방사통(좌골신경통),정형외과
목 통증과 팔 저림·악화되는 방사통,정형외과
보행 시 점점 다리 저림·휴식 시 호전(척추관 협착),정형외과
두통과 시야 흐림·고혈압·임신(전자간증 의심),산부인과

어깨가 아프고 팔을 들어올리기 힘듦(회전근개),정형외과
팔꿈치 바깥 통증·물건 들 때 악화(테니스엘보),정형외과
손목 통증·저림(수근관증후군),정형외과
무릎 붓기·계단 통증(연골연화/관절염),정형외과
무릎 급성 ‘뚝’ 소리·불안정(전방십자인대),정형외과
발목 삐고 붓기·보행 시 통증(염좌),정형외과
손가락 아침 뻣뻣·대칭 관절통(류마티스 의심),류마티스내과
손가락 끝 통증·차가움·푸르스름(레이노),류마티스내과
발뒤꿈치 통증·아침 첫발 악화(족저근막염),정형외과
뼈가 쉽게 부러짐·키 감소(골다공증),정형외과
국소 뼈 통증·야간 악화·종물 의심,정형외과

피부가 가렵고 붉게 부어오름(급성 두드러기),피부과
